"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jan 16 10:00:28 CST 2026","Fri Jan 16 10:00:30 CST 2026","1599","script.v1_6_2","test_notify_push","","","","测试通知消息为自定义","
    发送语音消息
    "
"passed","Fri Jan 16 10:00:57 CST 2026","Fri Jan 16 10:01:00 CST 2026","3206","script.v1_6_2","test_notify_push","","","","批量翻译成功","
    批量翻译接口
    "
"passed","Fri Jan 16 10:01:00 CST 2026","Fri Jan 16 10:01:01 CST 2026","338","script.v1_6_2","test_notify_push","","","","标记频道消息已读位置成功","
    标记频道消息已读位置
    "
"passed","Fri Jan 16 10:00:37 CST 2026","Fri Jan 16 10:00:37 CST 2026","266","script.v1_6_2","test_notify_push","","","","测试通知type为类型错误","
    发送语音消息
    "
"passed","Fri Jan 16 10:00:54 CST 2026","Fri Jan 16 10:00:57 CST 2026","3344","script.v1_6_2","test_notify_push","","","","拉取会话消息-世界群","
    测试拉取会话
    "
"passed","Fri Jan 16 10:00:18 CST 2026","Fri Jan 16 10:00:20 CST 2026","1637","script.v1_6_2","test_notify_push","","","","测试通知消息为文本","
    发送语音消息
    "
"passed","Fri Jan 16 10:00:44 CST 2026","Fri Jan 16 10:00:47 CST 2026","3377","script.v1_6_2","test_notify_push","","","","拉取会话消息-游戏群","
    拉取会话消息
    "
"passed","Fri Jan 16 10:00:32 CST 2026","Fri Jan 16 10:00:34 CST 2026","1627","script.v1_6_2","test_notify_push","","","","测试通知type为100","
    发送语音消息
    "
"passed","Fri Jan 16 10:00:39 CST 2026","Fri Jan 16 10:00:41 CST 2026","1604","script.v1_6_2","test_notify_push","","","","发送通知消息-语音","
    在发送消息
    "
"passed","Fri Jan 16 10:00:27 CST 2026","Fri Jan 16 10:00:28 CST 2026","1351","script.v1_6_2","test_notify_push","","","","测试通知消息为系统消息","
    发送语音消息
    "
"passed","Fri Jan 16 10:00:34 CST 2026","Fri Jan 16 10:00:36 CST 2026","1620","script.v1_6_2","test_notify_push","","","","测试通知type为0","
    发送语音消息
    "
"passed","Fri Jan 16 10:00:47 CST 2026","Fri Jan 16 10:00:50 CST 2026","3345","script.v1_6_2","test_notify_push","","","","拉取会话消息-私聊","
    测试拉取会话
    "
"passed","Fri Jan 16 10:00:38 CST 2026","Fri Jan 16 10:00:39 CST 2026","1636","script.v1_6_2","test_notify_push","","","","测试通知type为-1","
    发送语音消息
    "
"passed","Fri Jan 16 10:00:17 CST 2026","Fri Jan 16 10:00:18 CST 2026","1604","script.v1_6_2","test_notify_push","","","","发送通知消息-自建群","
    在发送消息
    "
"passed","Fri Jan 16 10:00:50 CST 2026","Fri Jan 16 10:00:54 CST 2026","3322","script.v1_6_2","test_notify_push","","","","拉取会话消息-自建群","
    测试拉取会话
    "
"passed","Fri Jan 16 10:00:36 CST 2026","Fri Jan 16 10:00:37 CST 2026","1601","script.v1_6_2","test_notify_push","","","","测试通知type为11","
    发送语音消息
    "
"passed","Fri Jan 16 10:00:41 CST 2026","Fri Jan 16 10:00:44 CST 2026","2462","script.v1_6_2","test_notify_push","","","","获取频道列表-语音消息校验","
    获取频道列表成功
    "
"passed","Fri Jan 16 10:00:11 CST 2026","Fri Jan 16 10:00:14 CST 2026","2197","script.v1_6_2","test_notify_push","","","","发送通知消息-联盟群","
    在发送消息
    "
"passed","Fri Jan 16 10:00:38 CST 2026","Fri Jan 16 10:00:38 CST 2026","268","script.v1_6_2","test_notify_push","","","","测试通知type为None","
    发送语音消息
    "
"passed","Fri Jan 16 10:00:25 CST 2026","Fri Jan 16 10:00:27 CST 2026","1605","script.v1_6_2","test_notify_push","","","","测试通知消息为富文本","
    发送语音消息
    "
"passed","Fri Jan 16 10:00:14 CST 2026","Fri Jan 16 10:00:15 CST 2026","1631","script.v1_6_2","test_notify_push","","","","发送通知消息-私聊","
    在发送消息
    "
"passed","Fri Jan 16 10:00:20 CST 2026","Fri Jan 16 10:00:23 CST 2026","3120","script.v1_6_2","test_notify_push","","","","测试通知消息为语音","
    发送语音消息
    "
"passed","Fri Jan 16 10:00:23 CST 2026","Fri Jan 16 10:00:25 CST 2026","1677","script.v1_6_2","test_notify_push","","","","测试通知消息为图片","
    发送语音消息
    "
"passed","Fri Jan 16 10:00:31 CST 2026","Fri Jan 16 10:00:32 CST 2026","1344","script.v1_6_2","test_notify_push","","","","测试通知消息为错误","
    发送语音消息
    "
"passed","Fri Jan 16 10:00:15 CST 2026","Fri Jan 16 10:00:17 CST 2026","1615","script.v1_6_2","test_notify_push","","","","发送通知消息-世界群","
    在发送消息
    "
"passed","Fri Jan 16 10:00:30 CST 2026","Fri Jan 16 10:00:31 CST 2026","1368","script.v1_6_2","test_notify_push","","","","测试通知消息为表情","
    发送语音消息
    "
